"","fn","temp","rep","row","col","Strain","PMY","maxGrowth","pointOfMaxGrowthRate","maxOD"
"830","2015_screening_for_TS/20150119_35half_rep2.asc",35.5,2,"D",2,"YJM450",1500,5.85350308751816e-05,83,1.716
"831","2015_screening_for_TS/20150119_35half_rep2.asc",35.5,2,"D",3,"YJM627",1508,4.28512800114749e-05,147,1.694
"832","2015_screening_for_TS/20150119_35half_rep2.asc",35.5,2,"D",4,"YJM975",1516,5.99895145387946e-05,17,1.652
"833","2015_screening_for_TS/20150119_35half_rep2.asc",35.5,2,"D",5,"YJM1077",1524,2.22507803756674e-05,1,1.494
"834","2015_screening_for_TS/20150119_35half_rep2.asc",35.5,2,"D",6,"YJM1208",1532,6.12376134911738e-05,149,1.664
"835","2015_screening_for_TS/20150119_35half_rep2.asc",35.5,2,"D",7,"YJM1290",1540,6.85624107500462e-06,128,0.564
"836","2015_screening_for_TS/20150119_35half_rep2.asc",35.5,2,"D",8,"YJM1338",1548,5.47376766064386e-05,127,1.667
"837","2015_screening_for_TS/20150119_35half_rep2.asc",35.5,2,"D",9,"YJM1386",1556,5.9434567053632e-05,52,1.627
"838","2015_screening_for_TS/20150119_35half_rep2.asc",35.5,2,"D",10,"YJM1415",1564,4.65853944543926e-05,18,1.611
"839","2015_screening_for_TS/20150119_35half_rep2.asc",35.5,2,"D",11,"YJM1444",1572,4.69752440365477e-05,149,1.66
"840","2015_screening_for_TS/20150119_35half_rep2.asc",35.5,2,"D",12,"YJM1552",1587,4.29098109976062e-05,14,1.642
"841","2015_screening_for_TS/20150119_35half_rep2.asc",35.5,2,"E",1,"YJM244",1493,6.35268695792443e-05,51,1.667
"842","2015_screening_for_TS/20150119_35half_rep2.asc",35.5,2,"E",2,"YJM451",1501,4.38201391799343e-05,130,1.692
"843","2015_screening_for_TS/20150119_35half_rep2.asc",35.5,2,"E",3,"YJM681",1509,6.29771383014678e-05,83,1.701
"844","2015_screening_for_TS/20150119_35half_rep2.asc",35.5,2,"E",4,"YJM978",1517,6.08996267233228e-05,138,1.644
"845","2015_screening_for_TS/20150119_35half_rep2.asc",35.5,2,"E",5,"YJM1078",1525,5.74869863110908e-05,46,1.656
